Title,Year,Link,Poster
Fubar II,2010,https://www.imdb.com/title/tt1555747/,"https://m.media-amazon.com/images/M/MV5BOTM0MzM1MTYxN15BMl5BanBnXkFtZTcwMjQ2NDY4Mw@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Leningrad Cowboys Go America,1989,https://www.imdb.com/title/tt0097728/,"https://m.media-amazon.com/images/M/MV5BNWUyYWNhMDktNWYzMC00NTdmLWE5MTgtN2E5YTE0ZmYxM2NjXkEyXkFqcGdeQXVyOTg0ODEzODI@._V1_UY209_CR5,0,140,209_AL_.jpg"
Rock Around the Clock,1956,https://www.imdb.com/title/tt0049682/,"https://m.media-amazon.com/images/M/MV5BOTNhZDUwYjUtMzAwZi00MTkyLThkNzQtNWZjYzZlMWEyOTMzXkEyXkFqcGdeQXVyMTgzOTAxMzA@._V1_UX140_CR0,0,140,209_AL_.jpg"
Rush: Beyond the Lighted Stage,2010,https://www.imdb.com/title/tt1545103/,"https://m.media-amazon.com/images/M/MV5BMTgzNTk2Mzg0MF5BMl5BanBnXkFtZTcwNjI0MTg0Mw@@._V1_UY209_CR2,0,140,209_AL_.jpg"
Little Richard,2000,https://www.imdb.com/title/tt0228528/,"https://m.media-amazon.com/images/M/MV5BODM1NDY2NTQ3MF5BMl5BanBnXkFtZTcwODU2MjcxMQ@@._V1_UY209_CR2,0,140,209_AL_.jpg"
Shindig!,1964,https://www.imdb.com/title/tt0149523/,"https://m.media-amazon.com/images/M/MV5BNjc3MWZlMjMtYTI1MS00YTcwLWJlZWItOTZmYWM2YjkwODRjXkEyXkFqcGdeQXVyNDY0NjEwNTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
The Kids Are Alright,1979,https://www.imdb.com/title/tt0079400/,"https://m.media-amazon.com/images/M/MV5BMGJjZDdiOTItNzI3MC00MGU4LTgzNDktMTI3ZGZmNDIxYjZmXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX140_CR0,0,140,209_AL_.jpg"
Wild Zero,1999,https://www.imdb.com/title/tt0267116/,"https://m.media-amazon.com/images/M/MV5BOTQ2NzZkODgtMGRhZS00MTVlLWI1ODItYmYwYzg0MTIxZWJkXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UY209_CR2,0,140,209_AL_.jpg"
American Hot Wax,1978,https://www.imdb.com/title/tt0077158/,"https://m.media-amazon.com/images/M/MV5BNGVmZDk0NTEtNzZlZS00MDFlLTllNTItNDg5MDMwYzQ3YTFlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Pidä huivista kiinni, Tatjana",1994,https://www.imdb.com/title/tt0110832/,"https://m.media-amazon.com/images/M/MV5BNTNjMmY1YjMtMWVkYS00MmI2LTgzZTQtZWI0ZGJiYTIyZTk0XkEyXkFqcGdeQXVyMjI0MjMwMzQ@._V1_UY209_CR3,0,140,209_AL_.jpg"
Elvis: The Comeback Special,1968,https://www.imdb.com/title/tt0285063/,"https://m.media-amazon.com/images/M/MV5BMTcwMTY0NDg2MV5BMl5BanBnXkFtZTcwODA2ODUyMQ@@._V1_UY209_CR7,0,140,209_AL_.jpg"
Cotton Candy,1978,https://www.imdb.com/title/tt0077374/,"https://m.media-amazon.com/images/M/MV5BNTA0YWE2MzItZGIzOC00NTAyLTlhMDYtYzczOTI2ZDhlMmE3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_UY209_CR3,0,140,209_AL_.jpg"
Cocksucker Blues,1972,https://www.imdb.com/title/tt0068389/,"https://m.media-amazon.com/images/M/MV5BZWUwNmZkMjgtYjI5Yy00NzYwLWJjODMtZjgxODE1ZWIzY2U2XkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_UY209_CR3,0,140,209_AL_.jpg"
Hard Core Logo,1996,https://www.imdb.com/title/tt0116488/,"https://m.media-amazon.com/images/M/MV5BMmFiNDFmNjktZTllNS00Yjc1LTgxNDQtNjY3ODk1NzM3ZDY3L2ltYWdlXkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Ziggy Stardust and the Spiders from Mars,1979,https://www.imdb.com/title/tt0086643/,"https://m.media-amazon.com/images/M/MV5BMTM2MTE0NTkxN15BMl5BanBnXkFtZTcwNjg5NzYyMQ@@._V1_UY209_CR6,0,140,209_AL_.jpg"
The Rolling Stones Rock and Roll Circus,1996,https://www.imdb.com/title/tt0122689/,"https://m.media-amazon.com/images/M/MV5BNjc0Njg4MzU1Nl5BMl5BanBnXkFtZTcwMjgyMTcyMQ@@._V1_UY209_CR8,0,140,209_AL_.jpg"
The Beat Beneath My Feet,2014,https://www.imdb.com/title/tt3064356/,"https://m.media-amazon.com/images/M/MV5BMjQzMDg3NTg3N15BMl5BanBnXkFtZTgwNDY4NjAxMDI@._V1_UY209_CR0,0,140,209_AL_.jpg"
Orpheus,2005,https://www.imdb.com/title/tt0486638/,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB466678728_.png
Flame,1975,https://www.imdb.com/title/tt0072993/,"https://m.media-amazon.com/images/M/MV5BMTczOTAxNjc2Ml5BMl5BanBnXkFtZTcwMjM1NzcxMQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
AC/DC: Let There Be Rock,1980,https://www.imdb.com/title/tt0080321/,"https://m.media-amazon.com/images/M/MV5BZjhjNTg5MGItYjk5OC00ZmYxLTk2OGEtMzRhODZjMmU1ZmY5XkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_UX140_CR0,0,140,209_AL_.jpg"
Amazing Journey: The Story of The Who,2007,https://www.imdb.com/title/tt0462441/,"https://m.media-amazon.com/images/M/MV5BMTY0ODIzODI1MF5BMl5BanBnXkFtZTcwMDg3OTQ1MQ@@._V1_UY209_CR5,0,140,209_AL_.jpg"
End of the Century,2003,https://www.imdb.com/title/tt0368711/,"https://m.media-amazon.com/images/M/MV5BMTIwMzAwNTc0OF5BMl5BanBnXkFtZTcwMjUxMjgyMQ@@._V1_UY209_CR4,0,140,209_AL_.jpg"
